SKU Name,Full SKU,Types,Sizes,Quantity in Stock,Item Name,Supplier Name,Category,Price,Price USD,Sale Price,Profit Margin,Mark Up %,Stock,Status,Notes
btBoy-Line,btBoy-LineGray,Gray,,0,Thakshar Chupa,Bhod Thakchen,Chupa,¥180.00,$25.00,$72.00,$47.00,288.02%,,,
btBoy-Line,btBoy-LineBeige,Beige,,0,Thakshar Chupa,Bhod Thakchen,Chupa,¥180.00,$25.00,$72.00,$47.00,288.02%,,,
blLhasaDhi,blLhasaDhiBlack,Black,,0,Metok Utsang Chupa,BhodLa,Chupa,¥150.00,$20.83,$65.00,$44.17,312.02%,,,
blLhasaDhi,blLhasaDhiGreen,Green,,0,Metok Utsang Chupa,BhodLa,Chupa,¥150.00,$20.83,$65.00,$44.17,312.02%,,,
blLhasaDhi,blLhasaDhiBlue,Blue,,0,Metok Utsang Chupa,BhodLa,Chupa,¥150.00,$20.83,$65.00,$44.17,312.02%,,,
blLhasaSweet,blLhasaSweetPink,Pink,,0,Sweetheart Utsang Chupa,BhodLa,Chupa,¥150.00,$20.83,$65.00,$44.17,312.02%,,,
blLhasaSweet,blLhasaSweetGreen,Green,,0,Sweetheart Utsang Chupa,BhodLa,Chupa,¥150.00,$20.83,$65.00,$44.17,312.02%,,,
blLhasaGuchen,blLhasaGuchenBlackXL,Black,XL,0,Guchen Utsang Chupa,BhodLa,Chupa,¥210.00,$29.16,$70.00,$40.84,240.01%,,,
blLhasaGuchen,blLhasaGuchenBlackL,Black,L,0,Guchen Utsang Chupa,BhodLa,Chupa,¥210.00,$29.16,$70.00,$40.84,240.01%,,,
blLhasaGuchen,blLhasaGuchenOrangeXL,Orange,XL,0,Guchen Utsang Chupa,BhodLa,Chupa,¥210.00,$29.16,$70.00,$40.84,240.01%,,,
blLhasaGuchen,blLhasaGuchenOrangeL,Orange,L,0,Guchen Utsang Chupa,BhodLa,Chupa,¥210.00,$29.16,$70.00,$40.84,240.01%,,,
blLhasaGuchen,blLhasaGuchenPurpleXL,Purple,XL,0,Guchen Utsang Chupa,BhodLa,Chupa,¥210.00,$29.16,$70.00,$40.84,240.01%,,,
blLhasaGuchen,blLhasaGuchenPurpleL,Purple,L,0,Guchen Utsang Chupa,BhodLa,Chupa,¥210.00,$29.16,$70.00,$40.84,240.01%,,,
